TransactionID,Product,Category,Price,Quantity Sold,Total Sale Value,Customer Age,Customer Gender,Purchase Date,Payment Method,Store Location,Discount Applied (%),Net Sale Value
86,Shoes,Apparel,198.11,3,594.33,55,Female,2020-05-29,Credit Card,Houston,17,493.29
87,Nail Polish,Beauty,446.74,3,1340.22,29,Female,2020-02-13,Credit Card,Los Angeles,45,737.12
88,Headphones,Electronics,363.22,4,1452.88,19,Male,2015-07-22,Cash,Seattle,20,1162.3
89,Makeup Kit,Beauty,203.22,6,1219.32,25,Female,2017-03-22,Cash,New York,15,1036.42
90,Bread,Groceries,123.45,1,123.45,68,Female,2017-03-26,PayPal,San Francisco,8,113.57
91,Jeans,Apparel,16.63,5,83.14999999999999,49,Female,2019-10-07,PayPal,Seattle,19,67.35
92,Desk,Furniture,126.26,10,1262.6000000000001,33,Female,2016-01-22,Gift Card,Chicago,31,871.19
93,Fruits,Groceries,286.5,5,1432.5,63,Male,2023-11-03,Gift Card,Houston,7,1332.22
94,Dining Table,Furniture,195.74,5,978.7,22,Male,2019-10-24,Credit Card,Houston,2,959.13
95,Milk,Groceries,23.39,8,187.12,48,Male,2020-10-11,Cash,Chicago,24,142.21
96,Smartphone,Electronics,100.66,4,402.64,47,Female,2023-09-03,Gift Card,New York,21,318.09
97,Milk,Groceries,332.25,2,664.5,37,Female,2015-12-12,Cash,New York,43,378.77
98,Nail Polish,Beauty,290.22,5,1451.1000000000001,30,Male,2018-08-30,Gift Card,San Francisco,15,1233.44
99,Bread,Groceries,250.99,9,2258.91,35,Female,2019-04-03,Gift Card,San Francisco,4,2168.55
100,Laptop,Electronics,146.43,7,1025.01,34,Male,2015-04-17,PayPal,New York,2,1004.51
101,Laptop,Electronics,291.25,5,1456.25,40,Female,2016-11-19,PayPal,Chicago,34,961.12
102,Eggs,Groceries,36.64,4,146.56,59,Female,2017-08-23,Gift Card,New York,11,130.44
103,T-shirt,Apparel,278.57,8,2228.56,46,Female,2023-05-28,PayPal,Chicago,21,1760.56
104,Milk,Groceries,289.37,10,2893.7,50,Female,2021-09-07,Cash,San Francisco,11,2575.39
105,Dining Table,Furniture,176.85,5,884.25,24,Male,2017-02-15,PayPal,New York,3,857.72
106,T-shirt,Apparel,33.23,10,332.29999999999995,52,Female,2022-04-01,Gift Card,Houston,46,179.44
107,Bed,Furniture,371.5,5,1857.5,57,Male,2022-11-03,Gift Card,Houston,31,1281.67
108,Makeup Kit,Beauty,481.57,10,4815.7,44,Male,2019-04-14,Cash,Los Angeles,22,3756.25
109,Sofa,Furniture,472.47,7,3307.29,67,Male,2017-09-04,PayPal,San Francisco,39,2017.45
110,Perfume,Beauty,425.99,8,3407.92,43,Male,2019-11-05,PayPal,Chicago,9,3101.21
111,Headphones,Electronics,127.07,4,508.28,67,Female,2017-03-03,Cash,Los Angeles,34,335.46
112,Desk,Furniture,116.92,5,584.6,69,Female,2016-07-24,Gift Card,San Francisco,22,455.99
113,Eggs,Groceries,490.77,4,1963.08,62,Male,2023-10-28,Gift Card,San Francisco,9,1786.4
114,Perfume,Beauty,13.3,7,93.10000000000001,35,Male,2021-07-07,PayPal,Houston,27,67.96
115,Shoes,Apparel,426.66,9,3839.94,35,Male,2021-03-28,PayPal,Los Angeles,33,2572.76
116,Nail Polish,Beauty,397.48,4,1589.92,38,Male,2014-12-10,Cash,Houston,31,1097.04
117,Smartwatch,Electronics,307.36,2,614.72,30,Male,2015-03-26,Cash,San Francisco,2,602.43
118,Headphones,Electronics,44.07,2,88.14,45,Female,2018-01-27,Gift Card,Chicago,31,60.82
119,Dining Table,Furniture,469.51,2,939.02,65,Male,2017-01-25,Cash,San Francisco,26,694.87
120,T-shirt,Apparel,6.37,3,19.11,59,Male,2016-08-01,Credit Card,San Francisco,37,12.04
121,Nail Polish,Beauty,275.66,7,1929.6200000000001,34,Male,2019-01-24,PayPal,San Francisco,25,1447.22
122,Eggs,Groceries,377.2,10,3772.0,36,Male,2017-12-10,Gift Card,Los Angeles,0,3772.0
123,Headphones,Electronics,262.95,10,2629.5,59,Male,2020-09-19,PayPal,Seattle,8,2419.14
124,Perfume,Beauty,450.98,3,1352.94,20,Female,2020-06-21,Credit Card,Houston,35,879.41
125,Shampoo,Beauty,461.48,9,4153.32,19,Male,2015-10-16,Gift Card,Houston,26,3073.46
126,Headphones,Electronics,217.07,9,1953.6299999999999,48,Male,2024-04-28,Gift Card,Houston,30,1367.54
127,Chair,Furniture,343.44,9,3090.96,47,Male,2019-02-18,Cash,Houston,8,2843.68
128,Lotion,Beauty,320.96,7,2246.72,64,Female,2017-12-28,Gift Card,Los Angeles,18,1842.31
129,Sweater,Apparel,5.42,5,27.1,55,Male,2019-03-05,Gift Card,Los Angeles,31,18.7
130,Dining Table,Furniture,409.87,9,3688.83,65,Female,2021-10-12,PayPal,Chicago,39,2250.19
131,Perfume,Beauty,210.5,1,210.5,65,Male,2023-02-25,Cash,Chicago,16,176.82
132,Nail Polish,Beauty,207.12,5,1035.6,38,Male,2018-05-04,Cash,Los Angeles,47,548.87
133,Bed,Furniture,38.82,8,310.56,52,Female,2015-09-14,Credit Card,San Francisco,46,167.7
134,Makeup Kit,Beauty,90.06,3,270.18,29,Female,2023-05-21,Cash,Chicago,22,210.74
135,Sweater,Apparel,79.61,8,636.88,43,Female,2020-07-06,Gift Card,Los Angeles,29,452.18
136,Jeans,Apparel,398.69,8,3189.52,22,Female,2018-06-23,Credit Card,Chicago,24,2424.04
137,Smartphone,Electronics,56.34,3,169.02,25,Female,2023-05-19,Credit Card,Houston,32,114.93
138,Bed,Furniture,292.47,6,1754.8200000000002,25,Male,2018-06-14,PayPal,San Francisco,37,1105.54
139,Fruits,Groceries,138.6,4,554.4,38,Female,2020-01-24,Credit Card,Chicago,35,360.36
140,Perfume,Beauty,453.95,7,3177.65,41,Male,2024-09-25,PayPal,San Francisco,6,2986.99
141,Bread,Groceries,196.82,5,984.0999999999999,42,Female,2015-02-08,PayPal,Seattle,47,521.57
142,Chair,Furniture,412.51,10,4125.1,42,Male,2021-09-19,Cash,Houston,21,3258.83
143,Bed,Furniture,9.78,8,78.24,55,Female,2016-12-04,Gift Card,San Francisco,26,57.9
144,Shampoo,Beauty,422.39,2,844.78,65,Female,2022-08-04,Cash,Chicago,4,810.99
145,Sweater,Apparel,438.64,7,3070.48,49,Male,2015-06-09,Credit Card,Chicago,21,2425.68
146,Smartphone,Electronics,278.07,2,556.14,23,Female,2019-01-02,Credit Card,Los Angeles,17,461.6
147,Tablet,Electronics,153.07,5,765.3499999999999,24,Male,2018-01-14,Gift Card,Chicago,28,551.05
148,Headphones,Electronics,483.15,4,1932.6,23,Female,2021-07-10,Credit Card,Chicago,34,1275.52
149,Fruits,Groceries,494.42,6,2966.52,22,Male,2016-11-10,Gift Card,Seattle,40,1779.91
150,Smartwatch,Electronics,15.92,7,111.44,32,Female,2017-10-29,Cash,Houston,27,81.35
151,Dining Table,Furniture,265.11,5,1325.5500000000002,49,Male,2021-05-12,Cash,Houston,25,994.16
152,Smartwatch,Electronics,240.43,10,2404.3,66,Male,2020-07-12,PayPal,New York,39,1466.62
153,Sofa,Furniture,465.94,7,3261.58,46,Female,2018-09-09,Gift Card,San Francisco,7,3033.27
154,T-shirt,Apparel,420.05,1,420.05,38,Male,2015-09-05,Gift Card,Houston,10,378.05
155,Sweater,Apparel,142.63,8,1141.04,20,Male,2019-06-15,Cash,Seattle,37,718.86
156,Sofa,Furniture,200.96,1,200.96,22,Female,2020-08-21,Credit Card,Houston,10,180.86
157,Sweater,Apparel,317.31,6,1903.8600000000001,42,Female,2017-06-21,Cash,Houston,48,990.01
158,Smartwatch,Electronics,20.61,7,144.26999999999998,48,Male,2015-01-29,Credit Card,New York,46,77.91
159,T-shirt,Apparel,183.05,4,732.2,68,Female,2024-09-14,Gift Card,Houston,6,688.27
160,Fruits,Groceries,152.33,3,456.99,64,Male,2017-09-18,PayPal,New York,18,374.73
161,Makeup Kit,Beauty,193.09,7,1351.63,45,Male,2017-05-27,Gift Card,San Francisco,31,932.62
162,Jeans,Apparel,451.03,2,902.06,53,Female,2021-12-07,PayPal,Seattle,41,532.22
163,Dining Table,Furniture,36.13,9,325.17,30,Female,2023-10-31,Cash,Seattle,36,208.11
164,Bed,Furniture,246.41,9,2217.69,48,Male,2016-09-07,Gift Card,Houston,2,2173.34
165,Fruits,Groceries,193.01,2,386.02,37,Female,2022-01-26,Gift Card,New York,32,262.49
166,Laptop,Electronics,338.45,1,338.45,52,Male,2016-05-05,Gift Card,Seattle,24,257.22
167,Bread,Groceries,332.76,5,1663.8,35,Male,2022-04-12,Gift Card,Los Angeles,45,915.09
168,Sweater,Apparel,91.88,6,551.28,58,Male,2017-10-06,Cash,New York,4,529.23
169,Smartphone,Electronics,214.07,8,1712.56,67,Male,2015-10-17,Credit Card,Los Angeles,6,1609.81
170,Bed,Furniture,475.91,4,1903.64,41,Male,2017-10-02,Gift Card,Los Angeles,46,1027.97
171,Perfume,Beauty,212.76,2,425.52,58,Male,2016-12-11,Credit Card,Los Angeles,33,285.1
172,Tablet,Electronics,276.07,7,1932.49,59,Male,2017-07-17,PayPal,San Francisco,3,1874.52
173,Tablet,Electronics,228.24,2,456.48,23,Male,2014-12-12,Credit Card,Houston,36,292.15
174,Lotion,Beauty,125.7,3,377.1,26,Male,2022-11-24,Credit Card,Houston,8,346.93
175,Smartwatch,Electronics,172.29,4,689.16,44,Male,2022-08-13,Cash,Houston,18,565.11
176,Perfume,Beauty,190.08,5,950.4000000000001,18,Female,2015-10-09,PayPal,Los Angeles,45,522.72
177,Desk,Furniture,297.41,8,2379.28,28,Female,2022-05-26,Cash,Los Angeles,9,2165.14
178,Perfume,Beauty,312.94,4,1251.76,20,Male,2021-09-12,Cash,Houston,49,638.4
179,Smartphone,Electronics,195.13,2,390.26,70,Female,2016-08-22,Gift Card,San Francisco,20,312.21
180,Jeans,Apparel,384.51,6,2307.06,42,Female,2023-01-11,Cash,Chicago,37,1453.45
181,Lotion,Beauty,30.32,3,90.96000000000001,48,Male,2017-12-16,Gift Card,Houston,37,57.3
182,Fruits,Groceries,327.85,3,983.5500000000001,47,Female,2015-06-12,PayPal,New York,19,796.68
183,Smartphone,Electronics,128.91,8,1031.28,53,Male,2017-03-23,Gift Card,Los Angeles,49,525.95
184,Desk,Furniture,90.8,5,454.0,46,Male,2020-12-21,Gift Card,Seattle,8,417.68
185,Laptop,Electronics,130.71,5,653.5500000000001,21,Male,2023-05-26,Credit Card,Los Angeles,31,450.95
186,Lotion,Beauty,157.31,9,1415.79,19,Male,2015-03-12,Cash,Chicago,45,778.68
187,Shampoo,Beauty,55.07,1,55.07,59,Female,2022-10-01,Credit Card,Chicago,29,39.1
188,Shoes,Apparel,288.36,5,1441.8000000000002,67,Female,2015-03-24,Gift Card,New York,47,764.15
189,Bed,Furniture,59.49,8,475.92,49,Female,2015-10-25,Gift Card,San Francisco,13,414.05
190,Headphones,Electronics,195.93,9,1763.3700000000001,68,Male,2017-04-25,Gift Card,Chicago,5,1675.2
191,Makeup Kit,Beauty,95.53,9,859.77,21,Female,2024-07-08,Credit Card,San Francisco,7,799.59
192,Vegetables,Groceries,374.62,7,2622.34,27,Male,2017-03-18,PayPal,Los Angeles,19,2124.1
193,Chair,Furniture,254.56,6,1527.3600000000001,65,Female,2021-10-01,PayPal,Chicago,36,977.51
194,Laptop,Electronics,127.37,3,382.11,53,Male,2023-10-02,Cash,New York,47,202.52
195,T-shirt,Apparel,327.3,8,2618.4,51,Male,2018-03-30,PayPal,Houston,50,1309.2
196,Laptop,Electronics,132.06,5,660.3,43,Female,2024-01-23,Gift Card,Houston,42,382.97
197,Jeans,Apparel,416.82,1,416.82,56,Female,2017-02-06,PayPal,Chicago,30,291.77
198,Vegetables,Groceries,60.25,6,361.5,47,Female,2021-03-28,Credit Card,Houston,45,198.83
199,Jacket,Apparel,243.34,9,2190.06,19,Male,2021-10-05,Cash,Los Angeles,39,1335.94
200,Eggs,Groceries,45.84,6,275.04,70,Male,2024-06-07,Cash,New York,23,211.78
201,Fruits,Groceries,17.47,2,34.94,18,Female,2017-10-30,Gift Card,San Francisco,45,19.22
202,Headphones,Electronics,430.23,10,4302.3,29,Male,2024-09-07,PayPal,Houston,30,3011.61
203,T-shirt,Apparel,184.57,3,553.71,29,Male,2021-12-18,PayPal,Houston,35,359.91
204,Sweater,Apparel,498.69,4,1994.76,53,Male,2018-02-03,Cash,San Francisco,41,1176.91
205,Vegetables,Groceries,136.47,5,682.35,64,Female,2015-12-04,PayPal,Los Angeles,1,675.53
206,Chair,Furniture,484.48,2,968.96,34,Female,2021-07-23,Gift Card,Chicago,10,872.06
207,Smartwatch,Electronics,451.8,7,3162.6,53,Male,2024-03-24,Cash,Chicago,33,2118.94
208,Fruits,Groceries,217.25,6,1303.5,62,Male,2022-11-18,Credit Card,Chicago,8,1199.22
209,Nail Polish,Beauty,464.05,4,1856.2,66,Female,2022-03-12,Credit Card,New York,3,1800.51
210,Fruits,Groceries,262.17,4,1048.68,44,Male,2016-10-04,Credit Card,Los Angeles,13,912.35
211,Smartphone,Electronics,164.63,10,1646.3,69,Male,2018-06-20,Cash,Los Angeles,24,1251.19
212,T-shirt,Apparel,349.29,9,3143.61,51,Male,2016-03-29,Credit Card,San Francisco,27,2294.84
213,Bed,Furniture,313.1,2,626.2,67,Female,2016-03-25,Cash,New York,25,469.65
214,Perfume,Beauty,350.46,8,2803.68,68,Male,2021-04-30,Credit Card,Chicago,36,1794.36
215,Bread,Groceries,395.12,2,790.24,53,Male,2016-01-26,PayPal,Chicago,9,719.12
216,Desk,Furniture,317.75,9,2859.75,63,Female,2021-08-24,PayPal,Chicago,13,2487.98
217,Desk,Furniture,489.73,9,4407.57,53,Female,2018-08-15,Cash,Seattle,9,4010.89
218,Makeup Kit,Beauty,222.68,1,222.68,51,Male,2015-01-26,Credit Card,New York,39,135.83
219,Milk,Groceries,149.89,6,899.3399999999999,50,Male,2023-05-29,PayPal,Seattle,24,683.5
220,Perfume,Beauty,395.95,4,1583.8,30,Male,2016-10-27,Cash,Seattle,49,807.74
221,Shoes,Apparel,42.47,1,42.47,46,Male,2020-07-21,Credit Card,Los Angeles,35,27.61
222,Makeup Kit,Beauty,153.68,8,1229.44,20,Male,2016-05-28,PayPal,New York,35,799.14
223,Chair,Furniture,24.8,3,74.4,49,Female,2022-12-26,Cash,Los Angeles,26,55.06
224,Shoes,Apparel,277.22,9,2494.9800000000005,38,Female,2021-12-31,Credit Card,Houston,48,1297.39
225,Fruits,Groceries,301.1,10,3011.0,18,Female,2015-06-24,Gift Card,Los Angeles,45,1656.05
226,Lotion,Beauty,106.25,5,531.25,34,Female,2023-08-25,Cash,Houston,12,467.5
227,Desk,Furniture,131.57,10,1315.6999999999998,28,Male,2020-09-04,Credit Card,San Francisco,20,1052.56
228,Fruits,Groceries,167.51,8,1340.08,70,Male,2017-12-13,Gift Card,Houston,7,1246.27
229,Chair,Furniture,293.2,4,1172.8,23,Male,2019-10-18,Gift Card,San Francisco,29,832.69
230,Jacket,Apparel,379.74,9,3417.66,63,Female,2021-01-05,PayPal,Chicago,26,2529.07
231,Lotion,Beauty,227.66,8,1821.28,64,Female,2015-05-08,Gift Card,Chicago,3,1766.64
232,Bed,Furniture,464.96,5,2324.7999999999997,64,Female,2023-01-10,Gift Card,New York,12,2045.82
233,Chair,Furniture,364.66,6,2187.96,67,Male,2019-05-24,PayPal,Seattle,17,1816.01
234,Perfume,Beauty,485.93,4,1943.72,34,Female,2016-03-31,Gift Card,Houston,49,991.3
235,Jeans,Apparel,154.32,9,1388.8799999999999,54,Male,2018-04-15,Credit Card,New York,12,1222.21
236,Bread,Groceries,277.81,8,2222.48,33,Male,2022-01-20,Gift Card,Los Angeles,17,1844.66
237,Smartphone,Electronics,382.13,2,764.26,50,Female,2022-11-29,Credit Card,Houston,48,397.42
238,Headphones,Electronics,222.33,9,2000.97,26,Male,2016-07-28,PayPal,Seattle,11,1780.86
239,Bread,Groceries,203.86,9,1834.7400000000002,66,Male,2021-08-27,PayPal,Los Angeles,12,1614.57
240,Laptop,Electronics,362.0,8,2896.0,43,Female,2016-09-02,Credit Card,Los Angeles,12,2548.48
241,Sweater,Apparel,28.69,5,143.45000000000002,34,Female,2022-10-29,Gift Card,Chicago,44,80.33
242,Headphones,Electronics,188.14,8,1505.12,51,Female,2018-05-11,Gift Card,San Francisco,2,1475.02
243,Vegetables,Groceries,231.53,8,1852.24,67,Female,2015-12-18,Gift Card,Houston,10,1667.02
244,Vegetables,Groceries,304.74,9,2742.66,19,Female,2017-02-23,PayPal,Los Angeles,42,1590.74
245,Vegetables,Groceries,295.19,3,885.5699999999999,18,Male,2024-07-09,PayPal,Seattle,49,451.64
246,Bed,Furniture,247.71,5,1238.55,46,Female,2023-08-19,Gift Card,Houston,14,1065.15
247,Sweater,Apparel,165.23,3,495.68999999999994,26,Female,2021-03-23,Cash,Seattle,38,307.33
248,Milk,Groceries,143.86,3,431.58000000000004,62,Female,2020-08-21,Credit Card,Los Angeles,42,250.32
249,Shampoo,Beauty,106.17,4,424.68,44,Male,2024-06-07,Cash,Los Angeles,11,377.97
250,T-shirt,Apparel,117.06,6,702.36,41,Male,2015-05-17,PayPal,Los Angeles,11,625.1
251,Makeup Kit,Beauty,255.35,3,766.05,65,Female,2020-06-12,Credit Card,New York,9,697.11
252,Desk,Furniture,270.63,2,541.26,70,Male,2020-12-17,Cash,Los Angeles,36,346.41
253,Headphones,Electronics,339.34,10,3393.3999999999996,55,Male,2021-09-23,PayPal,Chicago,18,2782.59
254,Sofa,Furniture,366.97,2,733.94,60,Female,2021-12-26,Cash,Seattle,5,697.24
255,T-shirt,Apparel,267.92,8,2143.36,61,Female,2017-06-21,Credit Card,Seattle,18,1757.56
256,Desk,Furniture,321.23,8,2569.84,65,Female,2020-08-17,Gift Card,Houston,46,1387.71
257,Eggs,Groceries,187.9,5,939.5,23,Male,2017-08-02,Credit Card,San Francisco,34,620.07
258,Shoes,Apparel,305.95,3,917.8499999999999,23,Female,2023-04-11,Cash,Chicago,34,605.78
259,Jeans,Apparel,244.45,2,488.9,22,Female,2016-11-09,PayPal,Chicago,29,347.12
260,Tablet,Electronics,259.95,3,779.8499999999999,23,Male,2017-12-13,Cash,New York,49,397.72
261,Headphones,Electronics,443.71,8,3549.68,66,Female,2022-10-31,Cash,Seattle,16,2981.73
262,T-shirt,Apparel,54.22,6,325.32,41,Female,2014-12-18,Cash,Chicago,19,263.51
263,Bed,Furniture,241.22,2,482.44,62,Male,2023-02-01,Cash,Chicago,30,337.71
264,Desk,Furniture,286.41,3,859.23,34,Female,2023-11-19,Gift Card,San Francisco,12,756.12
265,Bread,Groceries,72.57,10,725.6999999999999,44,Female,2020-03-11,Gift Card,Los Angeles,32,493.48
