SaleID,Book Title,Genre,Price,Quantity Sold,Customer Age,Customer Gender,Purchase Date,Payment Method,Store Location
120,Compatible fault-tolerant capability,Fiction,7.49,1,25,Female,7/11/2023,Credit Card,Chicago
121,Optional content-based infrastructure,Non-Fiction,48.43,4,42,Female,8/3/2022,PayPal,Miami
122,Fully-configurable next generation infrastructure,Fantasy,33.95,5,52,Female,6/2/2023,Credit Card,LA
123,Universal discrete contingency,Sci-Fi,5.34,5,37,Female,3/17/2024,PayPal,Seattle
124,Business-focused bi-directional moderator,Fiction,16.76,2,31,Male,7/7/2024,PayPal,NY
125,Focused high-level product,Fiction,20.58,1,37,Male,5/13/2023,Cash,NY
126,Profit-focused dynamic open architecture,Biography,40.27,5,35,Female,5/26/2024,Credit Card,Chicago
127,Expanded attitude-oriented utilization,Fantasy,19.5,4,51,Female,6/17/2024,Cash,Chicago
128,Operative mobile orchestration,Sci-Fi,21.78,2,32,Male,6/23/2022,PayPal,LA
129,Team-oriented empowering moderator,Mystery,21.29,2,64,Male,12/31/2023,Credit Card,Seattle
130,Expanded actuating project,Biography,18.47,5,40,Female,1/10/2022,Credit Card,Seattle
131,Object-based web-enabled project,Mystery,20.55,3,43,Male,10/12/2023,Cash,NY
132,Advanced zero-defect benchmark,Fiction,7.5,5,30,Female,7/25/2024,Cash,Miami
133,Down-sized neutral open architecture,Fiction,20.76,1,31,Male,4/28/2024,Credit Card,Miami
134,Enterprise-wide motivating budgetary management,Non-Fiction,44.72,2,55,Male,9/27/2023,Cash,Chicago
135,Distributed real-time software,Biography,45.97,1,35,Male,8/5/2023,Cash,Seattle
136,Front-line interactive collaboration,Fiction,48.43,1,56,Female,6/5/2023,Cash,LA
137,Innovative explicit productivity,Sci-Fi,26.05,3,52,Female,1/5/2022,PayPal,Seattle
138,Mandatory zero administration algorithm,Fantasy,38.32,3,25,Female,6/1/2023,PayPal,LA
139,Ergonomic non-volatile forecast,Fantasy,32.49,4,20,Female,10/22/2023,PayPal,Seattle
140,Distributed tangible forecast,Fiction,25.23,5,47,Male,12/29/2023,PayPal,Miami
141,Quality-focused object-oriented product,Sci-Fi,17.77,1,25,Female,5/15/2024,Cash,NY
142,Organic bandwidth-monitored intranet,Biography,30.69,2,65,Female,3/7/2024,Credit Card,NY
143,Vision-oriented executive service-desk,Non-Fiction,15.51,3,69,Female,2/6/2023,Credit Card,NY
144,Switchable holistic superstructure,Non-Fiction,27.64,3,68,Male,9/18/2024,PayPal,Miami
145,Operative bandwidth-monitored info-mediaries,Mystery,22.65,2,31,Female,9/2/2024,Cash,LA
146,Pre-emptive well-modulated workforce,Mystery,46.98,5,63,Female,8/17/2023,Credit Card,Seattle
147,Persevering context-sensitive frame,Biography,6.57,2,28,Male,1/11/2023,Cash,Chicago
148,Synergistic coherent frame,Mystery,19.86,2,52,Female,8/3/2024,PayPal,NY
149,Organized needs-based groupware,Sci-Fi,42.48,3,52,Female,9/23/2024,Cash,Chicago
150,Enhanced mobile approach,Fiction,34.96,5,53,Male,10/9/2023,Cash,Seattle
151,Ameliorated tertiary alliance,Fiction,18.79,3,19,Male,2/8/2022,PayPal,LA
152,Cloned encompassing model,Fiction,22.15,3,36,Female,6/1/2024,PayPal,Seattle
153,Profound analyzing leverage,Non-Fiction,48.55,5,24,Male,5/30/2023,PayPal,NY
154,Operative needs-based approach,Mystery,45.59,4,53,Female,6/16/2024,Cash,LA
155,Face-to-face global function,Biography,20.97,2,63,Male,9/24/2024,Credit Card,Seattle
156,Fundamental cohesive ability,Non-Fiction,37.93,3,36,Female,7/22/2024,PayPal,Seattle
157,Advanced encompassing Graphical User Interface,Sci-Fi,32.45,1,50,Female,3/5/2023,Cash,LA
158,Intuitive zero administration data-warehouse,Fiction,10.94,2,49,Female,2/10/2022,Credit Card,Seattle
159,Ameliorated homogeneous benchmark,Mystery,33.42,5,61,Female,1/18/2022,Credit Card,NY
160,Synergized fresh-thinking support,Fiction,41.79,4,42,Male,3/8/2023,Credit Card,LA
161,Configurable modular throughput,Biography,16.04,3,46,Male,7/6/2024,Credit Card,NY
162,Business-focused systematic data-warehouse,Mystery,19.53,1,27,Female,7/11/2022,PayPal,NY
163,Open-architected full-range utilization,Non-Fiction,13.87,5,32,Female,3/21/2023,PayPal,NY
164,Stand-alone optimal ability,Fantasy,30.9,1,36,Female,2/27/2023,PayPal,Chicago
165,Up-sized tertiary open system,Non-Fiction,10.09,1,23,Male,5/3/2024,PayPal,Miami
166,Managed empowering help-desk,Biography,5.33,2,36,Female,1/15/2024,Cash,Chicago
167,Digitized zero tolerance middleware,Sci-Fi,24.38,3,51,Female,7/22/2024,PayPal,NY
168,Function-based hybrid database,Fiction,11.92,2,70,Male,6/17/2022,PayPal,LA
169,Centralized next generation architecture,Biography,16.25,2,61,Female,1/16/2022,PayPal,Miami
170,Integrated multimedia adapter,Biography,20.77,1,30,Male,5/22/2023,Cash,Miami
171,Inverse discrete matrix,Mystery,20.74,5,62,Female,8/22/2022,PayPal,LA
172,Diverse foreground open system,Sci-Fi,42.63,5,19,Male,1/12/2023,PayPal,NY
173,Persistent client-driven conglomeration,Biography,24.6,3,62,Female,6/20/2024,Cash,LA
174,Grass-roots mission-critical leverage,Fiction,16.27,5,68,Female,9/7/2023,PayPal,NY
175,Fully-configurable static contingency,Sci-Fi,30.52,1,45,Male,8/9/2023,Credit Card,NY
176,Decentralized value-added solution,Fantasy,42.48,5,46,Male,10/10/2022,Credit Card,Chicago
177,Reactive bi-directional attitude,Non-Fiction,26.28,1,31,Female,2/15/2023,Credit Card,NY
178,Advanced systemic instruction set,Biography,14.89,2,49,Male,4/3/2023,Credit Card,Miami
179,Integrated explicit moderator,Fantasy,17.91,4,68,Female,7/29/2023,PayPal,NY
180,Compatible tertiary toolset,Non-Fiction,25.38,1,53,Female,5/27/2022,Cash,Chicago
181,Organized asymmetric strategy,Sci-Fi,21.95,3,47,Male,12/19/2022,PayPal,Miami
182,Ergonomic responsive artificial intelligence,Mystery,33.91,3,69,Male,2/15/2022,Credit Card,Miami
183,Sharable full-range architecture,Biography,45.94,2,69,Male,6/19/2024,Cash,Miami
184,User-centric empowering support,Non-Fiction,14.07,2,62,Male,5/30/2023,Cash,Seattle
185,Seamless asynchronous Graphic Interface,Mystery,41.51,3,20,Male,11/1/2023,PayPal,LA
186,Sharable content-based matrices,Biography,23.9,1,70,Male,1/15/2022,Credit Card,Seattle
187,Fundamental bi-directional implementation,Sci-Fi,25.36,1,64,Female,11/13/2023,Credit Card,Chicago
188,Vision-oriented local function,Fantasy,15.24,2,70,Male,10/10/2022,Credit Card,LA
189,Compatible cohesive access,Fiction,40.47,4,51,Male,10/10/2022,Credit Card,Miami
190,Mandatory cohesive core,Sci-Fi,22.56,1,29,Male,11/11/2022,PayPal,Miami
191,Cross-group zero-defect application,Fiction,39.16,3,70,Male,12/8/2023,Cash,NY
192,Adaptive multimedia portal,Biography,14.27,5,65,Female,10/12/2022,Credit Card,LA
193,Re-engineered composite open architecture,Fantasy,7.88,4,18,Male,10/20/2022,PayPal,Miami
194,Re-engineered eco-centric customer loyalty,Mystery,47.46,2,70,Male,10/22/2022,Cash,Seattle
195,Implemented interactive capability,Non-Fiction,49.87,4,24,Male,3/8/2023,Credit Card,NY
196,Universal solution-oriented support,Fantasy,45.04,4,57,Male,12/8/2022,Credit Card,NY
197,Focused fresh-thinking leverage,Fiction,14.28,2,54,Male,8/20/2022,Credit Card,Miami
198,Cross-group logistical budgetary management,Fantasy,25.96,5,19,Male,11/10/2022,Credit Card,Miami
199,User-centric heuristic artificial intelligence,Non-Fiction,30.74,4,66,Female,8/22/2024,PayPal,LA
200,Adaptive coherent neural-net,Fantasy,44.63,4,23,Female,9/12/2024,Credit Card,Seattle
201,Optimized analyzing workforce,Sci-Fi,6.01,4,40,Male,6/14/2022,Credit Card,NY
202,Versatile bandwidth-monitored time-frame,Sci-Fi,31.3,3,68,Female,8/8/2023,Credit Card,Miami
203,Proactive empowering encryption,Biography,41.24,2,53,Female,6/16/2022,Credit Card,Miami
204,Fully-configurable background collaboration,Fantasy,42.29,1,33,Female,4/9/2024,Cash,NY
205,Progressive analyzing array,Non-Fiction,18.47,4,63,Female,7/2/2024,Credit Card,LA
206,Multi-channeled incremental architecture,Sci-Fi,29,3,34,Female,1/11/2023,PayPal,Chicago
207,Business-focused mission-critical middleware,Biography,49.12,3,26,Male,11/22/2022,PayPal,NY
208,Advanced holistic array,Biography,12.05,2,43,Female,10/18/2022,Credit Card,Seattle
209,Quality-focused system-worthy paradigm,Fantasy,35.23,3,60,Female,10/29/2022,Cash,Chicago
210,De-engineered directional interface,Sci-Fi,42.76,3,48,Male,3/21/2023,Credit Card,LA
211,Progressive actuating utilization,Biography,47.74,5,21,Female,3/30/2023,PayPal,LA
212,Cross-group composite Internet solution,Fantasy,37.26,2,56,Female,1/14/2024,Credit Card,Seattle
213,Customizable 24/7 pricing structure,Biography,17.29,1,57,Female,12/11/2022,Cash,Chicago
214,Focused object-oriented moratorium,Mystery,35.85,3,48,Male,6/10/2024,Cash,LA
215,Focused context-sensitive Graphical User Interface,Sci-Fi,48.7,3,61,Male,12/25/2023,Credit Card,LA
216,Open-source explicit info-mediaries,Non-Fiction,22.36,5,60,Male,3/27/2023,Credit Card,Chicago
217,Versatile client-server project,Mystery,20.54,2,37,Male,2/27/2024,PayPal,Chicago
218,Organized encompassing secured line,Mystery,20.16,4,65,Male,3/27/2024,Credit Card,Seattle
219,User-friendly local data-warehouse,Fiction,6.22,5,59,Female,1/8/2023,PayPal,Miami
220,De-engineered even-keeled toolset,Biography,37.62,5,62,Female,2/23/2024,Credit Card,Seattle
221,Upgradable even-keeled ability,Fantasy,38.12,3,57,Female,11/30/2022,PayPal,Chicago
222,Cross-platform content-based approach,Fiction,21.48,2,56,Female,2/22/2023,Cash,NY
223,Customizable multi-state workforce,Sci-Fi,15.84,4,69,Female,5/10/2024,Credit Card,Chicago
224,Profit-focused holistic access,Non-Fiction,35.65,3,44,Male,12/20/2023,Credit Card,Seattle
225,Persevering user-facing array,Biography,7.64,3,56,Male,6/26/2022,Cash,Miami
226,Up-sized scalable complexity,Fiction,7.26,1,52,Female,3/5/2022,PayPal,NY
227,Devolved neutral leverage,Biography,16.06,1,34,Female,5/16/2024,Credit Card,Miami
228,Grass-roots encompassing instruction set,Non-Fiction,15.55,4,33,Male,6/27/2022,Credit Card,Miami
229,Quality-focused human-resource task-force,Fiction,36.65,3,29,Male,1/17/2023,Cash,NY
230,Pre-emptive exuding adapter,Biography,33.46,1,24,Female,11/6/2023,Cash,NY
231,Ergonomic fresh-thinking application,Biography,25,2,43,Female,12/23/2022,Credit Card,LA
232,Vision-oriented scalable process improvement,Non-Fiction,13,1,54,Female,9/12/2024,Cash,LA
233,Persistent 24hour knowledgebase,Non-Fiction,21.84,4,62,Female,12/16/2022,Credit Card,NY
234,Networked multi-tasking infrastructure,Fiction,38.45,1,57,Female,9/1/2022,Cash,Seattle
235,Devolved radical complexity,Sci-Fi,6.25,2,20,Female,4/18/2024,PayPal,LA
236,Persistent asynchronous database,Mystery,10.76,5,26,Female,8/28/2024,Credit Card,NY
237,Extended didactic help-desk,Fiction,26.26,4,69,Female,8/14/2022,Cash,LA
238,Re-engineered coherent utilization,Biography,32.03,3,54,Male,12/2/2023,Credit Card,Seattle
239,Multi-layered bandwidth-monitored success,Fiction,41.59,1,43,Female,11/20/2023,PayPal,Seattle
240,Cloned value-added orchestration,Sci-Fi,46.4,4,65,Male,2/1/2023,Credit Card,LA
241,Re-engineered non-volatile methodology,Biography,31.73,4,61,Female,1/21/2023,Credit Card,NY
242,Phased encompassing challenge,Non-Fiction,40.8,2,61,Female,1/8/2024,Cash,Chicago
243,Reverse-engineered global approach,Mystery,32.62,5,58,Male,3/11/2024,Credit Card,Chicago
244,Organized solution-oriented data-warehouse,Non-Fiction,30.72,3,36,Male,4/19/2024,Cash,NY
245,Business-focused global monitoring,Fiction,5.91,3,60,Female,11/27/2023,Cash,NY
246,Object-based 24hour Graphic Interface,Sci-Fi,7.57,2,70,Female,7/14/2024,PayPal,Seattle
247,Multi-lateral grid-enabled synergy,Mystery,21.48,4,31,Male,2/14/2022,Credit Card,Miami
248,Reduced dynamic ability,Fantasy,41.48,1,43,Male,12/17/2023,PayPal,Miami
249,Enhanced hybrid complexity,Non-Fiction,5.6,5,25,Female,5/19/2022,Credit Card,NY
250,Phased mission-critical leverage,Non-Fiction,38.8,4,67,Female,12/2/2022,Credit Card,Chicago
251,Configurable maximized data-warehouse,Mystery,16.36,1,59,Male,3/20/2023,Cash,Seattle
252,Robust explicit moderator,Sci-Fi,20.74,2,45,Male,3/10/2023,Credit Card,Chicago
253,Advanced national model,Biography,30.77,3,62,Male,6/13/2023,PayPal,Miami
254,Reduced content-based forecast,Non-Fiction,8.17,5,39,Male,12/12/2022,PayPal,Miami
255,Phased web-enabled open system,Mystery,34.54,2,40,Female,5/31/2023,Credit Card,NY
256,Cloned optimizing hierarchy,Mystery,35.13,5,25,Male,9/27/2022,Cash,Miami
257,Distributed multi-state projection,Fiction,20.38,2,46,Male,6/8/2023,Credit Card,Miami
258,Ameliorated 24hour neural-net,Mystery,29.97,1,51,Male,8/6/2023,Cash,Miami
259,Face-to-face value-added adapter,Sci-Fi,16.8,5,45,Male,5/1/2024,Cash,LA
260,Cross-platform user-facing projection,Mystery,20.83,4,69,Female,1/2/2022,PayPal,Chicago
261,Sharable hybrid budgetary management,Sci-Fi,47.22,4,31,Male,1/6/2022,PayPal,Miami
262,Configurable real-time framework,Fiction,8.41,1,43,Female,7/23/2022,PayPal,NY
263,User-friendly logistical functionalities,Mystery,22.53,2,59,Female,1/29/2022,PayPal,Chicago
264,Operative executive data-warehouse,Fantasy,13.22,2,20,Female,9/7/2024,Cash,Miami
265,Diverse full-range matrix,Fiction,38.11,4,48,Male,4/25/2024,Credit Card,Seattle
266,Visionary local parallelism,Fiction,12.18,2,58,Male,2/12/2024,PayPal,LA
267,Focused responsive architecture,Biography,43.28,1,50,Male,12/3/2022,Cash,LA
268,Reverse-engineered fault-tolerant support,Non-Fiction,26.07,1,38,Female,12/3/2023,PayPal,NY
269,Sharable fault-tolerant hub,Fiction,13.63,2,20,Female,8/13/2022,Cash,Seattle
270,Optimized holistic function,Sci-Fi,47.15,4,39,Female,12/19/2023,PayPal,Chicago
271,Multi-tiered local definition,Sci-Fi,6.35,1,36,Female,3/4/2022,Credit Card,LA
272,Face-to-face analyzing open system,Mystery,11.23,2,70,Male,3/23/2022,PayPal,Seattle
273,Seamless upward-trending website,Fiction,47.75,5,28,Female,1/26/2023,Cash,Chicago
274,Optional user-facing info-mediaries,Mystery,25.33,4,48,Female,2/20/2022,PayPal,NY
275,Quality-focused executive framework,Sci-Fi,18.49,1,57,Female,2/5/2024,Cash,Miami
276,Cross-platform content-based orchestration,Mystery,14.33,2,49,Female,10/1/2023,Cash,LA
277,Operative zero administration access,Biography,48.47,4,31,Male,1/14/2024,Credit Card,LA
278,Phased dynamic solution,Non-Fiction,13.05,2,67,Male,1/6/2024,PayPal,Chicago
279,Enterprise-wide web-enabled flexibility,Biography,41.89,5,47,Female,1/5/2024,Credit Card,Miami
280,Profound asynchronous firmware,Non-Fiction,44.66,4,28,Male,3/26/2024,Credit Card,NY
281,Horizontal discrete knowledge user,Mystery,11.18,4,21,Male,6/18/2023,Credit Card,Miami
282,Virtual value-added throughput,Mystery,6.35,1,43,Female,8/1/2023,Credit Card,Chicago
283,User-centric web-enabled capacity,Biography,14.15,3,62,Male,1/20/2022,Cash,Chicago
284,Function-based zero tolerance Graphic Interface,Mystery,17.49,1,66,Female,8/12/2022,Cash,Seattle
285,Balanced fault-tolerant portal,Sci-Fi,24.17,2,50,Female,1/3/2022,Credit Card,Miami
286,Optional demand-driven architecture,Fiction,25.61,2,57,Female,6/8/2022,PayPal,Chicago
287,Decentralized heuristic portal,Biography,33.6,1,35,Male,6/11/2023,PayPal,Chicago
288,Down-sized discrete benchmark,Sci-Fi,30.09,4,69,Female,8/29/2024,PayPal,LA
289,Integrated well-modulated paradigm,Mystery,45.73,5,36,Female,1/23/2024,Cash,Chicago
290,Optional discrete neural-net,Biography,46.01,3,59,Female,3/5/2022,Credit Card,LA
